"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 07 23:53:21 BRT 2024","Sun Apr 07 23:53:22 BRT 2024","763","","customer.CustomerPostTest","","customer.CustomerPostTest","shouldSaveCustomerWithEmptyNameWithoutSuccess","Save an invalid Customer test without success","This test attempts to save a new invalid customer in the database."
"passed","Sun Apr 07 23:50:58 BRT 2024","Sun Apr 07 23:51:01 BRT 2024","2943","","offeredService.OfferedServiceGetTest","","offeredService.OfferedServiceGetTest","shouldGetOfferedServiceByIdWithSuccess","Get a OfferedService by valid ID with success","This test attempts to find an already saved offeredService using an valid Id."
"passed","Sun Apr 07 23:51:51 BRT 2024","Sun Apr 07 23:51:52 BRT 2024","785","","offeredService.OfferedServicePostTest","","offeredService.OfferedServicePostTest","shouldSaveOfferedServiceWithEmptyValueWithoutSuccess","Save an invalid OfferedService test without success","This test attempts to save a new invalid offeredService in the database."
"passed","Sun Apr 07 23:52:59 BRT 2024","Sun Apr 07 23:53:00 BRT 2024","945","","product.ProductDeleteTest","","product.ProductDeleteTest","shouldDeleteProductByIdWithInvalidIdWithoutSuccess","Product deletion by invalid ID test without success","This test attempts to delete an already saved product using an invalid Id."
"passed","Sun Apr 07 23:53:29 BRT 2024","Sun Apr 07 23:53:30 BRT 2024","941","","sale.SaleGetTest","","sale.SaleGetTest","shouldGetAllSalesWithSuccess","Get all Sales with success","This test attempts to find all sales saved in the database."
"passed","Sun Apr 07 23:51:08 BRT 2024","Sun Apr 07 23:51:09 BRT 2024","957","","product.ProductGetTest","","product.ProductGetTest","shouldGetProductByIdWithInvalidIdWithoutSuccess","Get a Product by invalid ID without success","This test attempts to find an already saved product using an invalid Id."
"passed","Sun Apr 07 23:49:19 BRT 2024","Sun Apr 07 23:49:26 BRT 2024","7534","","sale.SalePostTest","","sale.SalePostTest","shouldSaveSaleWithEmptyBarberIdWithoutSuccess","Save an invalid Sale test without success","This test attempts to save a new invalid Sale in the database."
"passed","Sun Apr 07 23:51:55 BRT 2024","Sun Apr 07 23:51:56 BRT 2024","924","","appointment.AppointmentDeleteTest","","appointment.AppointmentDeleteTest","shouldDeleteAppointmentByIdWithInvalidIdWithoutSuccess","Appointment deletion by invalid ID test without success","This test attempts to delete an already saved appointment using an invalid Id."
"passed","Sun Apr 07 23:53:12 BRT 2024","Sun Apr 07 23:53:16 BRT 2024","3318","","customer.CustomerDeleteTest","","customer.CustomerDeleteTest","shouldDeleteCustomerByIdWithSuccess","Customer deletion by valid id test with success","This test attempts to delete an already saved customer."
"passed","Sun Apr 07 23:52:33 BRT 2024","Sun Apr 07 23:52:36 BRT 2024","3353","","product.ProductPutTest","","product.ProductPutTest","shouldUpdateProductWithInvalidIdWithoutSuccess","Update a Product by invalid ID using valid data without success","This test attempts to update an existent product in the database."
"passed","Sun Apr 07 23:52:46 BRT 2024","Sun Apr 07 23:52:49 BRT 2024","2977","","expense.ExpensePostTest","","expense.ExpensePostTest","shouldSaveExpenseWithNegativeTotalValue","Save an invalid Expense test without success","This test attempts to save a new invalid expense in the database."
"passed","Sun Apr 07 23:50:01 BRT 2024","Sun Apr 07 23:50:02 BRT 2024","929","","offeredService.OfferedServiceDeleteTest","","offeredService.OfferedServiceDeleteTest","shouldDeleteOfferedServiceByIdWithEmptyIdWithoutSuccess","OfferedService deletion by empty ID test without success","This test attempts to delete an already saved offeredService using an empty Id."
"passed","Sun Apr 07 23:53:06 BRT 2024","Sun Apr 07 23:53:08 BRT 2024","1627","","barber.BarberGetTest","","barber.BarberGetTest","shouldGetAllBarbersWithSuccess","Get all Barbers with success","This test attempts to find all barbers saved in the database."
"passed","Sun Apr 07 23:51:04 BRT 2024","Sun Apr 07 23:51:08 BRT 2024","3491","","customer.CustomerPutTest","","customer.CustomerPutTest","shouldUpdateCustomerWithInvalidIdWithoutSuccess","Update a Customer by invalid ID using valid data without success","This test attempts to update an existent customer in the database."
"passed","Sun Apr 07 23:54:42 BRT 2024","Sun Apr 07 23:54:46 BRT 2024","3654","","offeredService.OfferedServicePutTest","","offeredService.OfferedServicePutTest","shouldUpdateOfferedServiceWithInvalidIdWithoutSuccess","Update a OfferedService by invalid ID using valid data without success","This test attempts to update an existent offeredService in the database."
"passed","Sun Apr 07 23:52:39 BRT 2024","Sun Apr 07 23:52:40 BRT 2024","1119","","barber.BarberPostTest","","barber.BarberPostTest","shouldSaveBarberWithSuccess","Save a new valid Barber test with success","This test attempts to save a new valid barber in the database."
"passed","Sun Apr 07 23:50:15 BRT 2024","Sun Apr 07 23:50:16 BRT 2024","921","","barber.BarberDeleteTest","","barber.BarberDeleteTest","shouldDeleteBarberByIdWithInvalidIdWithoutSuccess","Barber deletion by invalid ID test without success","This test attempts to delete an already saved barber using an invalid Id."
"passed","Sun Apr 07 23:51:09 BRT 2024","Sun Apr 07 23:51:12 BRT 2024","2944","","product.ProductGetTest","","product.ProductGetTest","shouldGetProductByIdWithSuccess","Get a Product by valid ID with success","This test attempts to find an already saved product using an valid Id."
"passed","Sun Apr 07 23:50:02 BRT 2024","Sun Apr 07 23:50:03 BRT 2024","934","","offeredService.OfferedServiceDeleteTest","","offeredService.OfferedServiceDeleteTest","shouldDeleteOfferedServiceByIdWithInvalidIdWithoutSuccess","OfferedService deletion by invalid ID test without success","This test attempts to delete an already saved offeredService using an invalid Id."
"passed","Sun Apr 07 23:48:58 BRT 2024","Sun Apr 07 23:48:59 BRT 2024","926","","customer.CustomerGetTest","","customer.CustomerGetTest","shouldGetCustomerByIdWithInvalidIdWithoutSuccess","Get a Customer by invalid ID without success","This test attempts to find an already saved customer using an invalid Id."
"passed","Sun Apr 07 23:53:19 BRT 2024","Sun Apr 07 23:53:20 BRT 2024","785","","customer.CustomerPostTest","","customer.CustomerPostTest","shouldSaveCustomerWithEmptyPhoneNumberWithoutSuccess","Save an invalid Customer test without success","This test attempts to save a new invalid customer in the database."
"passed","Sun Apr 07 23:49:12 BRT 2024","Sun Apr 07 23:49:19 BRT 2024","7309","","sale.SalePostTest","","sale.SalePostTest","shouldSaveSaleWithEmptyPaymentMethod","Save an invalid Sale test without success","This test attempts to save a new invalid sale in the database."
"passed","Sun Apr 07 23:50:34 BRT 2024","Sun Apr 07 23:50:54 BRT 2024","19815","","appointment.AppointmentPutTest","","appointment.AppointmentPutTest","shouldUpdateAppointmentWithSuccess","Update a Appointment by valid ID using valid data with success","This test attempts to update an existent appointment in the database."
